t,rmse_full,rmse_window,mae_window,front_mean_cells,front_mean_ft,front_mean_m,front_haus_cells,pred_std_band,pred_std_window,abl_rmse_window,abl_burned,gt_burned,pred_burned
50,12.087529516798922,4.428106490591288,2.3607954050805384,1.4125373111514876,115.85772279795617,35.313433908817046,4.4148945643393205,0.18285587427375902,1.151602761399305,7.212551281029022,0,499,543
100,11.996075646905238,4.525566812377021,2.472001166507832,1.4061858044112834,115.33676586361787,35.15464623523073,4.382738059894308,0.18135280333551548,1.2131520154345787,7.948553123030858,0,770,825
150,12.137207824289,4.554452115513124,2.6032381194689345,1.3745588678139435,112.74269289696747,34.36397279499569,4.332038464139799,0.1804714505869953,1.3448136594493327,8.830613797402725,0,1092,1161
200,12.407375700100294,4.552106191269104,2.7484493669577517,1.360118068099923,111.55824406362379,34.00295279059254,4.287194239818632,0.18241851188036007,1.5231832861526244,9.825142517629773,0,1492,1540
250,12.762977908842231,4.58146953527485,2.9218500082974708,1.3253018604382651,108.70258389500695,33.132547571198124,4.183964938777521,0.19075960908315126,1.7383719207854493,10.898358918484572,0,1923,1983
300,13.28356593909725,4.695842659619544,3.1450395966240876,1.3304937625145392,109.12842889520502,33.26234512725849,4.232082887832647,0.25570408113615234,1.991911134593597,12.018553945954812,0,2401,2485
